Institute ID,Name,City,State,Latitude,Longitude
1,Sahota-Garg Elderly Home,Ahmedabad,Gujarat,23.00249914705537,72.52625334507296
2,Merchant PLC Orphanage,Pune,Maharashtra,18.54500934621942,73.87377257400787
3,"Garde, Karpe and Chadha Elderly Home",Jaipur,Rajasthan,26.932944886770635,75.81272010919925
4,"Suresh, Kalita and Solanki Elderly Home",Ahmedabad,Gujarat,22.989358200349763,72.56083407930943
5,Atwal-Sangha Shelter,Mumbai,Maharashtra,19.03619319067806,72.83397215909014
6,Kota LLC Elderly Home,Mumbai,Maharashtra,19.103415679249718,72.87474076194668
7,"Kapadia, Dixit and Ahluwalia Elderly Home",Mumbai,Maharashtra,19.115675136461306,72.91970008347496
8,Baria Group Shelter,Chennai,Tamil Nadu,13.063216950204534,80.27017768434737
9,"Bandi, Sandal and Wali Elderly Home",Pune,Maharashtra,18.491771297485258,73.83342072767566
10,Chaudhari-Sethi Elderly Home,Lucknow,Uttar Pradesh,26.84819824036958,80.92838275081691
11,Chacko PLC Orphanage,Kolkata,West Bengal,22.609990723878518,88.370955285495
12,"Ray, Kamdar and Deo Elderly Home",Chennai,Tamil Nadu,13.077073536255861,80.286671732264
13,Khare-Chana Orphanage,Ahmedabad,Gujarat,23.030057712569842,72.56773289015463
14,Mody-Edwin Shelter,Jaipur,Rajasthan,26.867361273666194,75.78725454233238
15,Bajwa-Sha Elderly Home,Delhi,Delhi,28.658126117365857,77.1988256409157
16,Ravi and Sons Elderly Home,Chennai,Tamil Nadu,13.09608724460521,80.30672872648147
17,"Shetty, Agarwal and Bobal Elderly Home",Pune,Maharashtra,18.499285112333162,73.82748880552631
18,"Natarajan, Wali and Bali Elderly Home",Ahmedabad,Gujarat,22.980073964529648,72.52267389433372
19,Madan-Johal Shelter,Delhi,Delhi,28.624924897828983,77.22983589360386
20,Nayak Ltd Orphanage,Jaipur,Rajasthan,26.87382946811424,75.76640788813756
21,"Patla, Behl and Choudhry Elderly Home",Jaipur,Rajasthan,26.94669724020486,75.81199036553555
22,Shroff-Baria Elderly Home,Delhi,Delhi,28.610133587966345,77.2393959116091
23,Gill-Bhavsar Shelter,Bangalore,Karnataka,12.981015935787966,77.62471555973012
24,"Jayaraman, Devi and Natt Orphanage",Delhi,Delhi,28.584905292017933,77.23739169288466
25,"Comar, Sridhar and Kadakia Shelter",Jaipur,Rajasthan,26.910094776618955,75.83603445001512
26,Nagi LLC Elderly Home,Pune,Maharashtra,18.543969750530625,73.83370024811212
27,"Sampath, Malhotra and Bhagat Orphanage",Jaipur,Rajasthan,26.96213661815497,75.83534591708546
28,Pai-Sethi Elderly Home,Bangalore,Karnataka,12.967118334733426,77.59081149227018
29,"Vyas, Das and Singhal Shelter",Lucknow,Uttar Pradesh,26.84022913314953,80.9390092876625
30,"Walia, Master and Seth Shelter",Hyderabad,Telangana,17.427678878311443,78.4857230081462
31,Bhatti-Guha Elderly Home,Bangalore,Karnataka,12.967922963740904,77.57699391201606
32,Buch Group Orphanage,Lucknow,Uttar Pradesh,26.88432232931316,80.98457774582086
33,Bose-Chopra Orphanage,Ahmedabad,Gujarat,23.009211425653362,72.6095556261068
34,Choudhury-Divan Elderly Home,Kolkata,West Bengal,22.620361536752377,88.38169980152426
35,Jayaraman PLC Shelter,Hyderabad,Telangana,17.398343034011184,78.45325635150853
36,Memon Group Shelter,Mumbai,Maharashtra,19.101251866057037,72.87375091599083
37,"Deo, Som and Palan Elderly Home",Hyderabad,Telangana,17.42473389655688,78.46554583504181
38,Bail-Manne Orphanage,Mumbai,Maharashtra,19.119919743282576,72.90862458367535
39,Bains and Sons Shelter,Delhi,Delhi,28.627913141539093,77.18617686976738
40,"Nayak, Sabharwal and Oza Shelter",Jaipur,Rajasthan,26.865002954981716,75.76100415089186
41,"Narain, Sunder and Wagle Shelter",Ahmedabad,Gujarat,23.056209950178893,72.54132367634855
42,Shankar-Modi Shelter,Jaipur,Rajasthan,26.901929249795067,75.83561622899114
43,Mohan and Sons Elderly Home,Mumbai,Maharashtra,19.06363706272983,72.85780871804653
44,Sule LLC Elderly Home,Bangalore,Karnataka,12.981324396832209,77.61633084123335
45,Divan LLC Elderly Home,Jaipur,Rajasthan,26.93188870858073,75.81905945469515
46,Ganesan-Dyal Shelter,Delhi,Delhi,28.626129137583764,77.20522309659079
47,"Mangal, Gopal and Gill Shelter",Lucknow,Uttar Pradesh,26.8583356323599,80.96470299492692
48,"Dube, Edwin and Khanna Orphanage",Kolkata,West Bengal,22.587677338978164,88.36659862183265
49,Nadig PLC Orphanage,Chennai,Tamil Nadu,13.114008696411382,80.25121091902122
50,Lad-Pingle Orphanage,Jaipur,Rajasthan,26.890152879198503,75.8237427628522
